program_name,city,latitude,longitude
Юрист в сфере правоприменительной и экспертно-аналитической деятельности,Ставрополь,45.0433245,41.9690934
Логистика и управление транспортными системами,Тверь,56.858675,35.9208284
Теория и методология управления библиотечно-информационной деятельностью,Челябинск,55.1598408,61.4025547
Управление спортивными сооружениями и объектами,Санкт-Петербург,59.9606739,30.1586551
Научно-методическое обеспечение подготовки спортсменов,Санкт-Петербург,59.9606739,30.1586551
Инновационные технологии сервиса в ресторанном бизнесе,Москва,55.625578,37.6063916
Athlete activity management in selected sports,Москва,55.625578,37.6063916
Частное право и разрешение споров,Уфа,54.7261409,55.947499
Теория и методика преподавания русского языка за рубежом,Москва,55.625578,37.6063916
Лингвистическая аналитика и экспертиза текстов,Москва,55.625578,37.6063916
Прикладная филология,Москва,55.625578,37.6063916
Мировая литература в культурном контексте,Москва,55.625578,37.6063916
Русский язык как иностранный в международном пространстве,Москва,55.625578,37.6063916
Научно-методическое обеспечение физического воспитания и спорта,Краснодар,45.0351532,38.9772396
История России,Бирск,55.4206774,55.5407179
Современный образовательный менеджмент,Бирск,55.4206774,55.5407179
"Химия окружающей среды, химическая экспертиза и экологическая безопасность",Бирск,55.4206774,55.5407179
Медицинская биология,Бирск,55.4206774,55.5407179
Экологическая безопасность окружающей среды,Бирск,55.4206774,55.5407179
Проектирование и разработка образовательных программ,Бирск,55.4206774,55.5407179
Логопедическое сопровождение детей и взрослых,Бирск,55.4206774,55.5407179
Информационные системы,Бирск,55.4206774,55.5407179
Нейропсихологическое сопровождение в специальном (дефектологическом) образовании,Бирск,55.4206774,55.5407179
Психолого-педагогическое сопровождение лиц с нарушениями в развитии,Комсомольск-на-Амуре,50.5497277,137.0099189
Правовое обеспечение образовательной деятельности,Омск,54.991375,73.371529
Эффективное управление,Санкт-Петербург,59.9606739,30.1586551
Промышленное проектирование программных систем,Армавир,44.9993585,41.1294061
Юрист в сфере национальной безопасности,Воронеж,51.6605982,39.2005858
"Биотехнология продуктов функционального, лечебного и профилактического питания",Саратов,51.530018,46.034683
Дизайн авторской одежды и аксессуаров,Москва,55.625578,37.6063916
Дизайн среды и управление проектами,Москва,55.625578,37.6063916
Гейм-дизайн. Разработка авторских игр,Москва,55.625578,37.6063916
Управление авиатранспортными системами,Москва,55.625578,37.6063916
Управление безопасностью на воздушном транспорте,Москва,55.625578,37.6063916
Управление процессами технической эксплуатации бортового оборудования воздушных судов,Москва,55.625578,37.6063916
Теория и практика гражданских правоотношений в России,Ростов-на-Дону,47.2222596,39.7198736
Дизайн в креативных индустриях,Якутск,62.0274078,129.7319787
Теория и методология когнитологии чтения в цифровой среде,Якутск,62.0274078,129.7319787
Менеджмент в сфере государственной культурной политики,Якутск,62.0274078,129.7319787
Теория перевода и межъязыковая коммуникация,Москва,55.625578,37.6063916
Теория перевода и межъязыковая коммуникация,Махачкала,42.9830241,47.5048717
Управление экономической эффективностью инвестиций в объекты капитального строительства,Верхняя Пышма,56.9724682,60.5738926
Бизнес-информатика,Верхняя Пышма,56.9724682,60.5738926
Инжиниринговая деятельность и реновация в производстве,Липецк,52.6051488,39.5963775
"Уголовно-правовое обеспечение безопасности личности, общества, государства",Казань,55.7946485,49.1115022
Правовое регулирование предпринимательской деятельности,Санкт-Петербург,59.9606739,30.1586551
"Клеточная и молекулярная биология, биоинформатика",Иваново,56.9956855,40.9812104
Экологическая безопасность в промышленности,Оренбург,51.7671248,55.0978517
Экологическая безопасность в промышленности,Новочеркасск,47.41066,40.101986
Менеджмент и интеллектуальные системы в образовании,Оренбург,51.7671248,55.0978517
Теория и практика вокального исполнительства,Волгоград,48.7081906,44.5153353
Юрист в сфере судебно-прокурорской деятельности,Курск,51.7270357,36.192248
Интенсивные технологии в животноводстве (по отраслям),Москва,55.625578,37.6063916
Эксплуатация машин и оборудования,Москва,55.625578,37.6063916
Компьютерный инжиниринг технических систем,Москва,55.625578,37.6063916
Проектирование инженерных систем с применением цифровых технологий,Москва,55.625578,37.6063916
Технология производства продуктов питания животного происхождения с заданными составом и с..,Москва,55.625578,37.6063916
Электроэнергетические системы и сети,Москва,55.625578,37.6063916
Гидрометеорологические информационно-измерительные системы,Москва,55.625578,37.6063916
Дизайн образовательных продуктов в сфере искусства и креативных индустрий,Барнаул,53.3475493,83.7788448
Школа стратегических коммуникаций,Барнаул,53.3475493,83.7788448
Психология ментального здоровья,Барнаул,53.3475493,83.7788448
Геоинформационное обеспечение пространственного развития,Барнаул,53.3475493,83.7788448
Биотехнологии и биоэкономика,Барнаул,53.3475493,83.7788448
ML-инженерия и большие данные,Барнаул,53.3475493,83.7788448
Аналитика в цифровых медиакоммуникациях,Ижевск,56.8529729,53.2103071
"Лингвистика, лингводидактика и методика преподавания иностранных языков",Москва,55.625578,37.6063916
Мегатренды международного энергетического бизнеса,Москва,55.625578,37.6063916
Правовое обеспечение в энергетике,Москва,55.625578,37.6063916
Стратегическое управление качеством в организации,Москва,55.625578,37.6063916
"Твердотельная микро- и наноэлектроника, лазерная и оптическая измерительная электроника (И..",Москва,55.625578,37.6063916
Гидроэнергетическое строительство,Москва,55.625578,37.6063916
Психология образования и развития,Симферополь,44.9521459,34.1024858
Индустрия гостеприимства в курортных комплексах,Симферополь,44.9521459,34.1024858
Ландшафтная архитектура туристско-рекреационного комплекса,Симферополь,44.9521459,34.1024858
Инженерное обустройство территорий и сооружений,Симферополь,44.9521459,34.1024858
Технологии искусственного интеллекта и бизнес-аналитика,Пенза,53.1953477,45.0190437
Автомобилестроение и автосервис,Пенза,53.1953477,45.0190437
Материаловедение и технологии новых материалов (реализуемая в сетевой форме с Ланьчжоуским..,Пенза,53.1953477,45.0190437
Социальная архитектура,Москва,55.625578,37.6063916
Цифровые технологии и управление информационной безопасностью в государственном аудите и к..,Москва,55.625578,37.6063916
Цифровой финансовый маркетинг,Москва,55.625578,37.6063916
Прикладные инструменты цифрового государственного управления,Москва,55.625578,37.6063916
Киберэкономика и финансовая безопасность,Москва,55.625578,37.6063916
"Инженерные системы зданий, сооружений и территорий в строительстве и ЖКХ",Пермь,58.0108531,56.2318528
Бережливое производство и экспертиза в строительстве,Пермь,58.0108531,56.2318528
Суперкомпьютерные технологии и экспериментальная механика в приложении к аэрокосмической т..,Пермь,58.0108531,56.2318528
Автомобильные дороги и мосты,Пермь,58.0108531,56.2318528
Межкультурная коммуникация и перевод в научно-технической сфере,Пермь,58.0108531,56.2318528
Текстовая аналитика (китайский язык),Уфа,54.7261409,55.947499
Педагогический дизайн креативных индустрий и туристической деятельности,Уфа,54.7261409,55.947499
Семейная психология с основами консультирования,Уфа,54.7261409,55.947499
Системный инжиниринг электрифицированных силовых установок,Уфа,54.7261409,55.947499
Средства производства и технологии для авиадвигателестроения,Уфа,54.7261409,55.947499
Проектирование объектов энергетического машиностроения,Уфа,54.7261409,55.947499
Технологии электроэнергетики и энергоменеджмент,Уфа,54.7261409,55.947499
Геоинформационные технологии в управлении развитием территорий,Уфа,54.7261409,55.947499
Химическое и прикладное материаловедение,Уфа,54.7261409,55.947499
"Цифровой инжиниринг в контроле добычи, транспортировки углеводородов и экологии недр",Уфа,54.7261409,55.947499
Образовательный инжиниринг в начальном общем образовании,Краснодар,45.0351532,38.9772396
Публичная политика и управление в цифровом обществе,Краснодар,45.0351532,38.9772396
Государственная молодежная политика,Краснодар,45.0351532,38.9772396
Стратегический и операционный менеджмент: управленческий консалтинг,Краснодар,45.0351532,38.9772396
Реабилитационная и экспертно-диагностическая деятельность психолога,Краснодар,45.0351532,38.9772396
Финансовые рынки и финтех,Краснодар,45.0351532,38.9772396
Бренд-дизайн и продвижение цифровых экосистем,Краснодар,45.0351532,38.9772396
Управление бизнесом и международное предпринимательство,Краснодар,45.0351532,38.9772396
Финансовая экономика в цифровой среде,Краснодар,45.0351532,38.9772396
Бизнес-аналитика и аналитика данных,Краснодар,45.0351532,38.9772396
Прикладные языковые технологии в цифровых коммуникациях,Краснодар,45.0351532,38.9772396
Электронные СМИ и новые медиа,Краснодар,45.0351532,38.9772396
Арт-медиа,Краснодар,45.0351532,38.9772396
Реклама и связи с общественностью в СМИ,Краснодар,45.0351532,38.9772396
Частное право и цивилистический процесс в цифровую эпоху,Краснодар,45.0351532,38.9772396
Прикладная история,Краснодар,45.0351532,38.9772396
"Дипломатия: теория, история, практика",Краснодар,45.0351532,38.9772396
Информационная безопасность интеллектуальных автоматизированных систем,Краснодар,45.0351532,38.9772396
Телекоммуникационные системы и технологии информационно-коммуникационной безопасности,Москва,55.625578,37.6063916
Продуктовая разработка и разработка программных систем,Москва,55.625578,37.6063916
Математика и компьютерные науки,Москва,55.625578,37.6063916
Передовые методы искусственного интеллекта,Москва,55.625578,37.6063916
Интеллектуальные технологии смешанной реальности для аэрокосмических систем,Москва,55.625578,37.6063916
Экспертно-аналитическое обеспечение внешнеполитической деятельности,Москва,55.625578,37.6063916
Государственное и корпоративное управление развитием человеческого капитала — Public and C..,Москва,55.625578,37.6063916
Государственная политика и управление политическими проектами,Москва,55.625578,37.6063916
"Музейный менеджмент, маркетинг и история искусств",Москва,55.625578,37.6063916
Международные отношения и экономическая дипломатия,Москва,55.625578,37.6063916
Государственная политика в Евразии,Москва,55.625578,37.6063916
Социальная архитектура,Москва,55.625578,37.6063916
Политическое образование и гражданское просвещение,Москва,55.625578,37.6063916
Искусственный интеллект и цифровые коммуникации в государственном администрировании,Москва,55.625578,37.6063916
Перевод в международных организациях (с продолжающим уровнем французского и английского яз..,Москва,55.625578,37.6063916
Язык профессионального общения в сфере управления,Москва,55.625578,37.6063916
Иностранный язык и межкультурная коммуникация в политике и дипломатии,Москва,55.625578,37.6063916
Искусственный интеллект в обучении иностранным языкам,Москва,55.625578,37.6063916
Обучение иностранным языкам в высшей школе и корпоративной среде,Москва,55.625578,37.6063916
Практическая юриспруденция,Москва,55.625578,37.6063916
"Публичное право и взаимодействие с органами публичной власти (GR, government relations)",Москва,55.625578,37.6063916
Правоведение,Москва,55.625578,37.6063916
Компьютерная лингвистика,Москва,55.625578,37.6063916
Теоретическая лингвистика,Москва,55.625578,37.6063916
История международных отношений в новое и новейшее время,Москва,55.625578,37.6063916
Контроль качества в фармацевтической разработке лекарственных средств,Москва,55.625578,37.6063916
Рациональное природопользование,Москва,55.625578,37.6063916
Обращение с отработавшим ядерным топливом,Москва,55.625578,37.6063916
Радиофармацевтическая химия,Москва,55.625578,37.6063916
Концептуальное дизайнерское проектирование,Ростов-на-Дону,47.2222596,39.7198736
Цифровизация в проектировании зданий,Ростов-на-Дону,47.2222596,39.7198736
Продюсирование в креативной индустрии,Санкт-Петербург,59.9606739,30.1586551
Международная социология,Санкт-Петербург,59.9606739,30.1586551
Социальная архитектура,Санкт-Петербург,59.9606739,30.1586551
Платформенная экономика,Санкт-Петербург,59.9606739,30.1586551
Поведенческая экономика и экономическая психология,Санкт-Петербург,59.9606739,30.1586551
Управление проектами в креативной экономике,Санкт-Петербург,59.9606739,30.1586551
Системный анализ и интеллектуальные системы управления бизнес-процессами,Санкт-Петербург,59.9606739,30.1586551
Государственное управление и противодействие коррупции в транспортной отрасли,Москва,55.625578,37.6063916
Транспортный и промышленный дизайн,Москва,55.625578,37.6063916
Контроль и надзор на транспорте,Москва,55.625578,37.6063916
Правоохранительная деятельность в сфере обеспечения транспортной безопасности,Москва,55.625578,37.6063916
Цивилистика (юрист частного права) в транспортной сфере,Москва,55.625578,37.6063916
Предпринимательское и коммерческое право в транспортной отрасли,Москва,55.625578,37.6063916
Государственное управление на транспорте,Москва,55.625578,37.6063916
Интеллектуальные системы обработки информации и управления на воздушном транспорте,Москва,55.625578,37.6063916
Пассажирский комплекс ВСМ,Москва,55.625578,37.6063916
Гигиена и техносферные риски транспортных систем,Москва,55.625578,37.6063916
Электрический транспорт и локомотивы автономной тяги,Москва,55.625578,37.6063916
