id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
64,Проектирование технологических процессов и оборудования нефтегазохимических производств,18.04.01,Химическая технология,"Нефтехимик, инженер-нефтехимик, Химик-разработчик, технолог по продукту, Инженер-химики остальные",231800.0,15.0,,40.0,5.0,https://vuzopedia.ru/program/magistratura/13205
65,Финансовые технологии в государственном секторе,38.04.08,Финансы и кредит,"Финансист, Финансовый менеджер, Финансовый консультанти остальные",60000.0,,,20.0,19.0,https://vuzopedia.ru/program/magistratura/13204
66,"Налогообложение, внутренний контроль и правовое обеспечение бизнеса",38.04.01,Экономика,"Налоговый бухгалтер (специалист по налогообложению), Бухгалтер-экономист, Налоговый консультанти остальные",60000.0,4.0,,30.0,22.0,https://vuzopedia.ru/program/magistratura/13200
67,"Администрирование экономики города и региона, Telegram",38.04.01,Экономика,"Инженер-экономист, Специалист государственного и муниципального управления, Экономисти остальные",60000.0,,,30.0,14.0,https://vuzopedia.ru/program/magistratura/13196
68,Филологическое образование в поликультурном пространстве (русский язык как иностранный),44.04.01,Педагогическое образование,"Филолог-русист (русист), Учитель русского языка и литературы, Преподаватель русского языка как иностранногои остальные",176660.0,8.0,,30.0,10.0,https://vuzopedia.ru/program/magistratura/13194
69,Коммуникационный консалтинг,42.04.05,Медиакоммуникации,"Консультант по электронному бизнесу, Медиа-консультант, Профконсультанти остальные",105000.0,,,30.0,15.0,https://vuzopedia.ru/program/magistratura/13191
70,Журналистика в условиях современных социокультурных медиапрактик,42.04.02,Журналистика,"Журналист, Арт-журналист, Научный журналисти остальные",105000.0,,,30.0,15.0,https://vuzopedia.ru/program/magistratura/13188
71,Социология социальных процессов и изменений,39.04.01,Социология,"Специалист по социальной работе, Социолог, Социальный инженери остальные",85000.0,,,30.0,15.0,https://vuzopedia.ru/program/magistratura/13185
72,Технологические системы атомных станций,14.04.01,Ядерная энергетика и теплофизика,"Монтажник оборудования атомных станций, Специалист по управлению проектами и программами в области производства электроэнергии атомными электростанциями, Специалист в области информационных технологий на атомных станцияхи остальные",120000.0,10.0,,35.0,10.0,https://vuzopedia.ru/program/magistratura/13182
73,Расчет и проектирование транспортных сооружений,08.04.01,Строительство,"Инженер-строитель, Инженер-строитель автомобильных дорог, Менеджер строительного проектаи остальные",162200.0,10.0,,35.0,15.0,https://vuzopedia.ru/program/magistratura/13179
74,Digital Linguistic Educational Content Design (Проектирование цифрового лингвистического о..,45.04.02,Лингвистика,Преподаватель лингвистикии остальные,216000.0,,,60.0,15.0,https://vuzopedia.ru/program/magistratura/13176
75,Русско-китайский перевод и межкультурная коммуникация,45.04.02,Лингвистика,"Переводчик китайского языка, Менеджер по межкультурной коммуникации, Переводчики остальные",216000.0,,,60.0,20.0,https://vuzopedia.ru/program/magistratura/13173
76,Аналитика и экспертиза в управлении,39.04.01,Социология,"Аналитик данных, Специалист по социальной работе, Социологи остальные",85000.0,13.0,,60.0,20.0,https://vuzopedia.ru/program/magistratura/13170
77,Медицинская и прикладная зоология,06.04.01,Биология,"Зоотехник, Зоолог, Зооинженери остальные",,9.0,,,,https://vuzopedia.ru/program/magistratura/13167
78,Прикладная информатика в инженерно-физических исследованиях,03.04.02,Физика,"Инженер информационной безопасности, Информатик (специалист по информационным технологиям), Специалист по прикладной информатикеи остальные",,6.0,,,,https://vuzopedia.ru/program/magistratura/13164
79,Арктическое право. Экологическое право. Право недропользования.,40.04.01,Юриспруденция,"Корпоративный юрист, Сетевой юрист, Юрист по морскому праву (морской юрист)и остальные",95000.0,,,50.0,20.0,https://vuzopedia.ru/program/magistratura/13161
80,Экономика замкнутого цикла северных территорий,38.04.01,Экономика,"Бухгалтер-экономист, Инженер-экономист, Специалист по экономической безопасностии остальные",332000.0,,,60.0,10.0,https://vuzopedia.ru/program/magistratura/13158
81,Образование лиц с интеллектуальными нарушениями,44.04.03,Специальное (дефектологическое) образование,"Педагог, Педагог инклюзивного образования, Педагог по работе с одаренными детьмии остальные",332000.0,9.0,,80.0,10.0,https://vuzopedia.ru/program/magistratura/13155
82,Психологопедагогическое сопровождение (тьюторство) семьи,44.04.02,Психолого-педагогическое образование,"Педагог-психолог, Семейный психолог, Социальный психологи остальные",332000.0,,,80.0,10.0,https://vuzopedia.ru/program/magistratura/13152
83,Фундаментальная и компьютерная лингвистика тюркских и монгольских языков,45.04.02,Лингвистика,"Компьютерный лингвист, Тюрколог, Преподаватель монгольского языкаи остальные",283500.0,9.0,,70.0,10.0,https://vuzopedia.ru/program/magistratura/13149
84,Математические основы искусственного интеллекта и математического моделирования,01.04.01,Математика,"Математик, Специалист по искусственному интеллекту, Специалист по математическому моделированиюи остальные",332000.0,8.0,,80.0,10.0,https://vuzopedia.ru/program/magistratura/13146
85,Управление бизнесом в пищевой отрасли,19.04.01,Биотехнология,"Инженер пищевой промышленности, Менеджер непрерывности бизнеса, Руководительи остальные",218400.0,35.0,,40.0,1.0,https://vuzopedia.ru/program/magistratura/13145
86,Технологии глубокой переработки возобновляемых и вторичных ресурсов,18.04.01,Химическая технология,"Инженер-технолог, Технолог по нефтепереработке, Техник-технологи остальные",,25.0,,,,https://vuzopedia.ru/program/magistratura/13130
87,"Медико-биологические аппараты, системы и комплексы",12.04.04,Биотехнические системы и технологии,"Биотехнолог, Биолог, Биолог-исследовательи остальные",,25.0,,,,https://vuzopedia.ru/program/magistratura/13127
88,Наноструктуированные натуральные и искусственные материалы,28.04.01,Нанотехнологии и микросистемная техника,"Наноинженер, Нанотехнолог, Проектировщик нанотехнологических материалов (наноматериалов)и остальные",,15.0,,,,https://vuzopedia.ru/program/magistratura/13124
89,Управление качеством в производственных системах,27.04.02,Управление качеством,"Инженер по управлению качеством, Инженер-технолог по качеству, Менеджер по качествуи остальные",215000.0,25.0,,40.0,5.0,https://vuzopedia.ru/program/magistratura/13121
90,Технология рециклинга в нефтегазохимии,18.04.01,Химическая технология,"Инженер по технологическому обеспечению работы нефтегазового промысла, Нефтехимик, инженер-нефтехимик, Химик-технологи остальные",,16.0,,,,https://vuzopedia.ru/program/magistratura/13120
91,Экономика данных и аналитика,01.04.05,Статистика,"Бухгалтер-экономист, Аналитик данных, Статистики остальные",218400.0,25.0,,40.0,1.0,https://vuzopedia.ru/program/magistratura/13117
92,Проектирование и моделирование нефтехимических процессов,18.04.01,Химическая технология,"Нефтехимик, инженер-нефтехимик, Химик-технолог, Инженер-химики остальные",180000.0,9.0,,30.0,5.0,https://vuzopedia.ru/program/magistratura/13114
93,Химическая технология и оборудование нефтехимических производств,18.04.01,Химическая технология,"Нефтехимик, инженер-нефтехимик, Химик-технолог, Технолог по нефтепереработкеи остальные",180000.0,9.0,,30.0,3.0,https://vuzopedia.ru/program/magistratura/13111
94,Искусственный интеллект в газопереработке и газохимии,18.04.01,Химическая технология,"Нефтехимик, инженер-нефтехимик, Химик-технолог, Специалист по искусственному интеллектуи остальные",180000.0,9.0,,30.0,5.0,https://vuzopedia.ru/program/magistratura/13108
95,Проектирование и эксплуатация энергетических объектов и систем,13.04.01,Теплоэнергетика и теплотехника,"Инженер-энергетик, Инженер-проектировщик, Инженер-теплоэнергетики остальные",160500.0,13.0,,30.0,10.0,https://vuzopedia.ru/program/magistratura/13105
96,Технологическое предпринимательство и инновационное развитие бизнеса,38.04.02,Менеджмент,"Инновационный менеджер, Предприниматель, Специалист по бизнес-планированию и разработке бизнес-планови остальные",160500.0,,,30.0,20.0,https://vuzopedia.ru/program/magistratura/13102
