id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
223,Менеджмент индустрии туризма и гостеприимства,43.03.02,Туризм,"Администратор гостиницы, Event-менеджер, Менеджер гостиничного сервисаи остальные",,5.0,,125.0,45.0,https://vuzopedia.ru/program/bakispec/12552
224,Межнациональные коммуникации,41.03.05,Международные отношения,"Медиатор, Специалист в области международных отношенийи остальные",,,,120.0,15.0,https://vuzopedia.ru/program/bakispec/12549
225,Менеджмент на производстве и в бизнесе,38.03.02,Менеджмент,"Менеджер непрерывности бизнеса, Менеджер, Менеджер проектаи остальные",,,,120.0,45.0,https://vuzopedia.ru/program/bakispec/12546
226,"Родной (татарский, чувашский) язык и литература, Иностранный язык (английский/ турецкий)",44.03.05,Педагогическое образование (с двумя профилями подготовки),"Учитель (преподаватель) английского языка, Учитель чувашского языка и литературы, Преподаватель турецкого языкаи остальные",,18.0,,,,https://vuzopedia.ru/program/bakispec/12545
227,"Иностранный язык (английский), Иностранный язык (немецкий, китайский)",44.03.05,Педагогическое образование (с двумя профилями подготовки),"Преподаватель китайского языка, Учитель немецкого языка, Учитель (преподаватель) английского языкаи остальные",,25.0,,,,https://vuzopedia.ru/program/bakispec/12542
228,"Русский язык, Литература/ Дополнительное образование (журналистика)",44.03.05,Педагогическое образование (с двумя профилями подготовки),"Журналист, Учитель русского языка и литературыи остальные",,24.0,,,,https://vuzopedia.ru/program/bakispec/12539
229,Бизнес-аналитика и информационные системы на финансовых рынках,01.03.05,Статистика,"Программист, Финансист, Аналитик данныхи остальные",,21.0,,,,https://vuzopedia.ru/program/bakispec/12536
230,Разработка защищенных программных комплексов беспилотных систем,01.03.02,Прикладная математика и информатика,"Программист, Проектировщик интерфейсов беспилотной авиациии остальные",,,,121.0,10.0,https://vuzopedia.ru/program/bakispec/12533
231,Девелопмент в градостроительстве,07.03.04,Градостроительство,"Инженер-проектировщик, Девелопер, Экономисти остальные",,25.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/12531
232,Физика частиц и экстремальных состояний материи,03.05.02,Фундаментальная и прикладная физика,"Физик-атомщик (физик-ядерщик), Инженер-физик, Физики остальные",547220.0,24.0,,161.0,5.0,https://vuzopedia.ru/program/bakispec/12528
233,Теоретическая и математическая физика,03.05.02,Фундаментальная и прикладная физика,"Математик, Инженер-физик, Физики остальные",547220.0,25.0,,161.0,5.0,https://vuzopedia.ru/program/bakispec/12525
234,Искусственный интеллект в экономике,38.03.01,Экономика,"Специалист по искусственному интеллекту, Экономисти остальные",70000.0,,,120.0,60.0,https://vuzopedia.ru/program/bakispec/12523
235,Психолого-педагогическая поддержка детей с нарушениями развития,44.03.03,Специальное (дефектологическое) образование,"Дефектолог, Педагог-психолог, Педагог инклюзивного образованияи остальные",,13.0,,110.0,3.0,https://vuzopedia.ru/program/bakispec/12520
236,Технологии социальной работы,39.03.02,Социальная работа,"Специалист по социальной работе, Социальный работник, Социальный работник по адаптации людей с ограниченными возможностями через Интернети остальные",,15.0,,125.0,1.0,https://vuzopedia.ru/program/bakispec/12519
237,"Зарубежная филология (английский язык, английская литература, итальянский язык/турецкий яз..",45.03.01,Филология,"Учитель (преподаватель) английского языка, Переводчик английского языка, Переводчик турецкого языкаи остальные",170000.0,9.0,,150.0,5.0,https://vuzopedia.ru/program/bakispec/12515
238,Коррекционная педагогика и специальная психология,44.03.03,Специальное (дефектологическое) образование,"Логопед, Нейропсихолог, Воспитатель логопедических группи остальные",161000.0,18.0,,110.0,5.0,https://vuzopedia.ru/program/bakispec/12507
239,Нанотехнологии в микроэлектронике,28.03.02,Наноинженерия,"Инженер по наноэлектронике, Наноинженер, Проектировщик нанотехнологических материалов (наноматериалов)и остальные",187000.0,30.0,,120.0,5.0,https://vuzopedia.ru/program/bakispec/12506
240,Искусственный интеллект для кибербезопасности,10.03.01,Информационная безопасность,"Программист, Аналитик информационной безопасности, Инженер информационной безопасностии остальные",200000.0,264.0,79.0,192.0,29.0,https://vuzopedia.ru/program/bakispec/12503
241,Мультимедийный дизайн,54.03.01,Дизайн,"Архитектор виртуальности, Гейм-дизайнер, 3D-моделлери остальные",,12.0,,150.0,20.0,https://vuzopedia.ru/program/bakispec/12495
242,Русский язык и литература. Дополнительная квалификация (педагогика внеурочной деятельности..,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Логопед, Учительи остальные",,30.0,,130.0,10.0,https://vuzopedia.ru/program/bakispec/12494
243,Организация деятельности и управление предприятием сервиса,43.03.01,Сервис,"Менеджер гостиничного сервиса, Менеджер по работе с клиентами, Специалист по клиентскому сервисуи остальные",,25.0,,135.0,6.0,https://vuzopedia.ru/program/bakispec/12491
244,Аналитическое сопровождение международной деятельности органов государственной власти и би..,41.03.05,Международные отношения,"Дипломат, Менеджер, Специалист в области международных отношенийи остальные",,20.0,,157.0,9.0,https://vuzopedia.ru/program/bakispec/12488
245,"Политические исследования, аналитика и управленческие практики",41.03.04,Политология,"GR-менеджер, Политолог, Координатор программ развития сообществи остальные",,20.0,,135.0,10.0,https://vuzopedia.ru/program/bakispec/12485
246,"Социологические исследования, аналитика и управленческие практики",39.03.01,Социология,"Демограф, Корпоративный антрополог, Политтехнологи остальные",,20.0,,135.0,10.0,https://vuzopedia.ru/program/bakispec/12482
247,Организация перевозок на транспорте,23.03.01,Технология транспортных процессов,"Инженер по организации перевозок и управлению на транспорте, Логист, Операционный логисти остальные",270000.0,226.0,43.0,200.0,13.0,https://vuzopedia.ru/program/bakispec/12479
248,Технологии и оборудование машиностроительных производств,15.03.01,Машиностроение,"Инженер, Инженер-технолог, Инженер по автоматизации и механизациии остальные",,25.0,,131.0,10.0,https://vuzopedia.ru/program/bakispec/12476
249,Маркетинг туристских продуктов и сервисов,43.03.02,Туризм,"Маркетолог, Специалист по туризмуи остальные",51230.0,12.0,,120.0,139.0,https://vuzopedia.ru/program/bakispec/12473
250,Технология и переработка полимеров и композитов,04.03.01,Химия,"Инженер-композитчик, Лаборант физических испытаний, Лаборант спектрального анализаи остальные",,12.0,,120.0,2.0,https://vuzopedia.ru/program/bakispec/12471
251,Микро- и наноэлектроника. Радиофотоника,03.03.03,Радиофизика,"Инженер-схемотехник, Инженер по наноэлектронике, Инженер электронной техникии остальные",,25.0,,121.0,2.0,https://vuzopedia.ru/program/bakispec/12468
