id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
553,Русский язык как иностранный и Иностранный язык (английский),44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистикии остальные",151000.0,228.0,43.0,124.0,133.0,https://vuzopedia.ru/program/bakispec/11427
554,Физика и Химия,44.03.01,Педагогическое образование,"Педагог, Учитель, Преподавательи остальные",337000.0,185.0,23.0,144.0,17.0,https://vuzopedia.ru/program/bakispec/11423
555,Информатика и Труд (Технология),44.03.01,Педагогическое образование,"Педагог, Учитель, Учитель информатики и вычислительной техникии остальные",337000.0,185.0,23.0,144.0,17.0,https://vuzopedia.ru/program/bakispec/11419
556,Физика и Информатика,44.03.01,Педагогическое образование,"Педагог, Учитель, Учитель информатики и вычислительной техникии остальные",337000.0,185.0,23.0,144.0,16.0,https://vuzopedia.ru/program/bakispec/11415
557,Право и Иностранный язык (английский),44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистикии остальные",193000.0,223.0,25.0,135.0,50.0,https://vuzopedia.ru/program/bakispec/11411
558,Обществознание и Экономико-правовое образование,44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель экономикии остальные",337000.0,230.0,23.0,114.0,33.0,https://vuzopedia.ru/program/bakispec/11407
559,История и Воспитательная работа,44.03.01,Педагогическое образование,"Историк, Педагог, Учительи остальные",337000.0,230.0,22.0,114.0,32.0,https://vuzopedia.ru/program/bakispec/11403
560,Математика и Компьютерные науки,44.03.01,Педагогическое образование,"Педагог, Учитель, Учитель математики и информатикии остальные",337000.0,227.0,29.0,134.0,25.0,https://vuzopedia.ru/program/bakispec/11399
561,Математика и Экономика,44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель экономикии остальные",337000.0,227.0,28.0,134.0,25.0,https://vuzopedia.ru/program/bakispec/11395
562,История и Иностранный язык (английский),44.03.01,Педагогическое образование,"Историк, Педагог, Учительи остальные",337000.0,230.0,32.0,114.0,75.0,https://vuzopedia.ru/program/bakispec/11391
563,История и Обществознание. Организация воспитательной деятельности,44.03.01,Педагогическое образование,"Историк, Педагог, Учительи остальные",337000.0,253.0,32.0,135.0,150.0,https://vuzopedia.ru/program/bakispec/11387
564,Иностранный язык (китайский) и Русский язык как иностранный,44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистикии остальные",337000.0,262.0,23.0,132.0,75.0,https://vuzopedia.ru/program/bakispec/11383
565,Иностранный язык (английский) и Иностранный язык (испанский/французский),44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистикии остальные",337000.0,262.0,23.0,132.0,75.0,https://vuzopedia.ru/program/bakispec/11379
566,Иностранный язык (китайский) и Иностранный язык (английский),44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистикии остальные",337000.0,262.0,22.0,132.0,75.0,https://vuzopedia.ru/program/bakispec/11375
567,Иностранный язык (английский) и Иностранный язык (итальянский/немецкий),44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистикии остальные",337000.0,262.0,22.0,132.0,75.0,https://vuzopedia.ru/program/bakispec/11371
568,Изобразительное искусство и Дополнительное образование,44.03.01,Педагогическое образование,"Педагог, Учитель, Учитель ИЗОи остальные",337000.0,30.0,,207.0,50.0,https://vuzopedia.ru/program/bakispec/11367
569,Дополнительное образование (в области эстрадно-джазового искусства),44.03.01,Педагогическое образование,"Педагог, Учитель, Личный тьютор по эстетическому развитиюи остальные",,167.0,25.0,,,https://vuzopedia.ru/program/bakispec/11363
570,Музыка и Дополнительное образование (в области музыкального искусства),44.03.01,Педагогическое образование,"Педагог, Учитель, Личный тьютор по эстетическому развитиюи остальные",337000.0,152.0,25.0,177.0,25.0,https://vuzopedia.ru/program/bakispec/11359
571,Мировая художественная культура и Дополнительное образование (журналистика),44.03.01,Педагогическое образование,"Педагог, Учитель, Журналисти остальные",337000.0,246.0,25.0,139.0,50.0,https://vuzopedia.ru/program/bakispec/11355
572,Начальное образование и Информатика,44.03.01,Педагогическое образование,"Педагог, Учитель, Учитель информатики и вычислительной техникии остальные",337000.0,245.0,23.0,132.0,42.0,https://vuzopedia.ru/program/bakispec/11351
573,Начальное образование и История,44.03.01,Педагогическое образование,"Историк, Педагог, Учительи остальные",337000.0,245.0,23.0,132.0,42.0,https://vuzopedia.ru/program/bakispec/11347
574,Начальное образование и Иностранный язык (английский),44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистикии остальные",337000.0,245.0,23.0,132.0,41.0,https://vuzopedia.ru/program/bakispec/11343
575,Биология и Иностранный язык (английский),44.03.01,Педагогическое образование,"Педагог, Учитель, Учитель биологиии остальные",337000.0,207.0,17.0,134.0,17.0,https://vuzopedia.ru/program/bakispec/11339
576,Биология и Безопасность жизнедеятельности,44.03.01,Педагогическое образование,"Педагог, Учитель, Учитель биологиии остальные",337000.0,207.0,17.0,134.0,17.0,https://vuzopedia.ru/program/bakispec/11335
577,География и Иностранный язык (английский/китайский),44.03.01,Педагогическое образование,"Педагог, Географ, Учительи остальные",337000.0,224.0,20.0,129.0,32.0,https://vuzopedia.ru/program/bakispec/11331
578,Информационно-измерительные технологии в нефтегазовой отрасли,,,"Аналитик информационной безопасности, Инженер приборостроения, IT-специалисти остальные",,,,,,https://vuzopedia.ru/program/bakispec/11327
579,Дизайн и технология художественной обработки нетрадиционных материалов,29.03.04,Технология художественной обработки материалов,"Модельер-конструктор меховых изделий, Дизайнер, Материаловеди остальные",173500.0,181.0,15.0,110.0,15.0,https://vuzopedia.ru/program/bakispec/11323
580,Автоматика и программирование интеллектуальных систем управления,27.03.04,Управление в технических системах,"Программист, Intelligent Systems Developer (разработчик интеллектуальных систем), IT-специалисти остальные",173500.0,148.0,20.0,119.0,15.0,https://vuzopedia.ru/program/bakispec/11319
581,Управление техническим состоянием автотранспортных средств и специальной техники,23.03.03,Эксплуатация транспортно-технологических машин и комплексов,"Автомеханик, Ревизор автотранспортаи остальные",173500.0,180.0,12.0,119.0,5.0,https://vuzopedia.ru/program/bakispec/11315
582,Цифровая транспортная логистика,23.03.01,Технология транспортных процессов,"Инженер по организации перевозок и управлению на транспорте, Логист, Менеджер по работе с таможнейи остальные",173500.0,205.0,13.0,119.0,5.0,https://vuzopedia.ru/program/bakispec/11311
583,Производство цветных металлов,22.03.02,Металлургия,"Инженер-технолог, Инженер-металлург, Электролизник расплавленных солейи остальные",182700.0,170.0,15.0,119.0,5.0,https://vuzopedia.ru/program/bakispec/11307
584,Управление промышленными роботами и манипуляторами,15.03.06,Мехатроника и робототехника,"Программист, Инженер-мехатроник, Специалист по интегрированным интеллектуальным робототехническим комплексами остальные",191000.0,199.0,20.0,119.0,5.0,https://vuzopedia.ru/program/bakispec/11305
585,Перспективные двигатели,13.03.03,Энергетическое машиностроение,"Инженер по энергетическому машиностроению, Инженер-конструктор двигателей внутреннего сгорания, Инженер-машиностроительи остальные",173500.0,177.0,15.0,119.0,5.0,https://vuzopedia.ru/program/bakispec/11301
586,Информационные системы и технологии в ИТ-проектах,09.03.02,Информационные системы и технологии,"Программист, IT-специалист, Менеджер проектаи остальные",191000.0,214.0,25.0,119.0,15.0,https://vuzopedia.ru/program/bakispec/11297
587,Экономика данных и искусственный интеллект,38.03.01,Экономика,"Программист, Аналитик данных, IT-специалисти остальные",154900.0,,,138.0,70.0,https://vuzopedia.ru/program/bakispec/11296
588,Промышленный инжиниринг и автоматизация,15.03.04,Автоматизация технологических процессов и производств,"Инженер-исследователь, Программист, Инженер-технологи остальные",75000.0,182.0,40.0,137.0,35.0,https://vuzopedia.ru/program/bakispec/11292
589,Системы инерциальной навигации и управления подвижных объектов,12.03.03,Фотоника и оптоинформатика,"Инженер-конструктор, Программист, Инженер-испытательи остальные",183000.0,183.0,13.0,119.0,2.0,https://vuzopedia.ru/program/bakispec/11288
590,Технология и оборудование сварочного производства,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,"Инженер-конструктор, Инженер-технолог, Инженер по сваркеи остальные",183000.0,181.0,17.0,147.0,2.0,https://vuzopedia.ru/program/bakispec/11284
591,"Международно-правовой профиль (сетевая программа, реализуемая совместно с Ташкентским госу..",40.03.01,Юриспруденция,"Правозащитник, Юрист, Юрисконсульти остальные",270000.0,,,115.0,5.0,https://vuzopedia.ru/program/bakispec/11281
592,Стоматология (российско-египетская образовательная программа на английском языке),31.05.03,Стоматология,"Врач-стоматолог, Стоматолог-гигиенист, Стоматологический гигиенисти остальные",500000.0,,,118.0,5.0,https://vuzopedia.ru/program/bakispec/11277
593,Стоматология (российско-китайская совместная образовательная программа на английском языке),31.05.03,Стоматология,"Врач-стоматолог, Стоматолог-гигиенист, Стоматологический гигиенисти остальные",500000.0,,,118.0,5.0,https://vuzopedia.ru/program/bakispec/11273
594,Лечебное дело (российско-египетская образовательная программа на английском языке),31.05.01,Лечебное дело,"Физиотерапевт, Врач космической медицины, Врач персонифицированной медициныи остальные",500000.0,,,118.0,5.0,https://vuzopedia.ru/program/bakispec/11269
595,Лечебное дело (российско-китайская совместная образовательная программа на английском языке),31.05.01,Лечебное дело,"Физиотерапевт, Врач космической медицины, Врач персонифицированной медициныи остальные",500000.0,,,118.0,5.0,https://vuzopedia.ru/program/bakispec/11265
596,Общая биология (сетевая программа реализуемая совместно с Университетом МГУ-ППИ в Шэнчжэне..,06.03.01,Биология,"Лаборант, Биолог, Биолог-исследовательи остальные",370000.0,,,118.0,5.0,https://vuzopedia.ru/program/bakispec/11261
597,Химическая технология производств веществ и материалов,18.03.01,Химическая технология,"Лаборант, Химик-разработчик, технолог по продукту, Химик-технологи остальные",180000.0,,,166.0,15.0,https://vuzopedia.ru/program/bakispec/11257
598,Проектирование и эксплуатация технических систем,27.03.04,Управление в технических системах,"Инженер-технолог, Инженер-проектировщики остальные",35000.0,32.0,,147.0,95.0,https://vuzopedia.ru/program/bakispec/11253
599,Информатика и Математика,44.03.01,Педагогическое образование,"Педагог, Учитель, Учитель информатики и вычислительной техникии остальные",337000.0,227.0,28.0,134.0,25.0,https://vuzopedia.ru/program/bakispec/11249
600,Business process Management (study in English),38.03.02,Менеджмент,"Менеджер непрерывности бизнеса, Менеджер, Менеджер проектаи остальные",147200.0,,,153.0,200.0,https://vuzopedia.ru/program/bakispec/11247
601,Кинопроизводство,42.03.05,Медиакоммуникации,"Медиа-менеджер, Режиссёр театра и кино, Креативный директори остальные",690000.0,252.0,9.0,234.0,40.0,https://vuzopedia.ru/program/bakispec/11244
602,Управление качеством в инновационной экономике,27.03.02,Управление качеством,"Инженер по управлению качеством, Инженер-технолог по качеству, Инновационный менеджери остальные",141430.0,166.0,15.0,120.0,10.0,https://vuzopedia.ru/program/bakispec/11240
603,Аддитивные технологии в авиастроении,24.03.04,Авиастроение,"Авиаконструктор, Инженер-конструктор, Инженер-технологи остальные",42000.0,,,124.0,20.0,https://vuzopedia.ru/program/bakispec/11236
604,"Технология, оборудование и автоматизация машиностроительных производств",15.03.01,Машиностроение,"Инженер, Инженер-конструктор, Инженер-технологи остальные",38000.0,,,125.0,15.0,https://vuzopedia.ru/program/bakispec/11235
605,Теплогазоснабжение населенных мест и предприятий,08.03.01,Строительство,"Инженер по проектно-сметной документации, Инженер по техническому надзору, Инженер теплоснабжения и вентиляциии остальные",38000.0,,,120.0,13.0,https://vuzopedia.ru/program/bakispec/11233
606,"Прикладная лингвистика, лингводидактика и цифровые коммуникации",45.03.02,Лингвистика,"Контент-менеджер, Гид-переводчик, Литературный переводчики остальные",124150.0,,,157.0,20.0,https://vuzopedia.ru/program/bakispec/11229
607,Управление медиакоммуникациям,42.03.05,Медиакоммуникации,"Digital-стратег, GR-менеджер, PR-менеджери остальные",38000.0,,,172.0,37.0,https://vuzopedia.ru/program/bakispec/11228
608,Управление качеством в инновационной деятельности,27.03.02,Управление качеством,"Метролог, Инженер по стандартизации, метрологии и сертификации, Инженер по управлению качествоми остальные",,,,,,https://vuzopedia.ru/program/bakispec/11225
609,Цифровые технологии конструирования и производства электронных средств,11.03.03,Конструирование и технология электронных средств,"Инженер-конструктор, Программист, Инженер-схемотехники остальные",38000.0,139.0,22.0,121.0,44.0,https://vuzopedia.ru/program/bakispec/11223
610,Телекоммуникации и облачные технологии,11.03.02,Инфокоммуникационные технологии и системы связи,"Инженер по спутниковым коммуникациям, Инженер связи, Инженер-проектировщик в области связи и телекоммуникацийи остальные",141430.0,138.0,24.0,119.0,40.0,https://vuzopedia.ru/program/bakispec/11221
611,Строительство и эксплуатация объектов нефтегазовой отрасли,08.03.01,Строительство,"Инженер по водоснабжению и водоотведению, Инженер по проектно-сметной документации, Инженер по ремонту скважини остальные",38000.0,152.0,35.0,119.0,95.0,https://vuzopedia.ru/program/bakispec/11218
612,Промышленная экология,20.03.01,Техносферная безопасность,"Инженер по охране труда, Инженер по защите в чрезвычайных ситуациях, Инженер по охране труда и технике безопасностии остальные",38000.0,130.0,15.0,128.0,20.0,https://vuzopedia.ru/program/bakispec/11214
613,Искусственный интеллект и предиктивная аналитика,09.03.04,Программная инженерия,"Программист, Администратор баз данных, Разработчик нейронных сетейи остальные",38000.0,183.0,90.0,121.0,50.0,https://vuzopedia.ru/program/bakispec/11210
614,Управление проектами в IT сфере,09.03.03,Прикладная информатика,"Программист, IT-директор (CIO), Тимлиди остальные",38000.0,167.0,25.0,164.0,60.0,https://vuzopedia.ru/program/bakispec/11207
615,Маркетинг и бизнес-аналитика,38.03.02,Менеджмент,"Маркетолог, Медиа-аналитик, Медиа-консультанти остальные",92400.0,,,120.0,20.0,https://vuzopedia.ru/program/bakispec/11206
616,Искусственный интеллект в маркетинговых коммуникациях и PR,42.03.01,Реклама и связи с общественностью,"PR-менеджер, Маркетолог, Менеджер по рекламеи остальные",112320.0,,,125.0,23.0,https://vuzopedia.ru/program/bakispec/11205
617,Сервис массовых мероприятий,43.03.01,Сервис,"Менеджер по организации мероприятий, Специалист по клиентскому сервису, Художник-технологи остальные",91200.0,,,115.0,140.0,https://vuzopedia.ru/program/bakispec/11204
618,Музыкальное искусство и педагогика,53.03.06,Музыкознание и музыкально-прикладное искусство,"Педагог, Личный тьютор по эстетическому развитию, Музыкальный руководительи остальные",71200.0,343.0,6.0,180.0,7.0,https://vuzopedia.ru/program/bakispec/11201
619,Финансово-экономическое обеспечение экономической безопасности хозяйствующих субъектов,38.05.01,Экономическая безопасность,"Финансист, Налоговый инспектор, Финансовый менеджери остальные",80000.0,,,95.0,1.0,https://vuzopedia.ru/program/bakispec/11200
620,Технологии креативных индустрий,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Учитель, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.)и остальные",43000.0,146.0,16.0,137.0,6.0,https://vuzopedia.ru/program/bakispec/11198
621,"Начальное образование, русский язык и литература",44.03.01,Педагогическое образование,"Педагог, Учитель, Преподаватель лингвистикии остальные",43000.0,217.0,29.0,152.0,15.0,https://vuzopedia.ru/program/bakispec/11194
622,Мехатронные системы,15.03.01,Машиностроение,"Инженер-конструктор, Инженер-технолог, Инженер-мехатроники остальные",43000.0,,,115.0,28.0,https://vuzopedia.ru/program/bakispec/11190
623,Цифровые системы управления в бизнесе,09.03.03,Прикладная информатика,"Программист, Аналитик данных, IT-специалисти остальные",100000.0,,,196.0,100.0,https://vuzopedia.ru/program/bakispec/11187
624,Разработка программного обеспечения информационных систем и цифровых сервисов,09.03.02,Информационные системы и технологии,"Программист, Администратор баз данных, IT-специалисти остальные",100000.0,,,120.0,32.0,https://vuzopedia.ru/program/bakispec/11185
625,Технические и роботизированные системы в агропромышленном комплексе,35.03.06,Агроинженерия,"Агроинженер, Инженер-механик по сельскому хозяйству, Проектировщик-эргономист роботизированных системи остальные",61000.0,160.0,60.0,102.0,25.0,https://vuzopedia.ru/program/bakispec/11183
626,Экологический менеджмент и аудит агроландшафтов,35.03.03,Агрохимия и агропочвоведение,"Агрохимик, Почвовед, Эксперт-экологи остальные",163600.0,146.0,40.0,134.0,15.0,https://vuzopedia.ru/program/bakispec/11181
627,Кадровый сервис и аудит,38.03.03,Управление персоналом,"Специалист по кадрам, HR-специалист, Инженер по организации и нормированию трудаи остальные",102300.0,,,85.0,25.0,https://vuzopedia.ru/program/bakispec/11178
628,Регионы России: государственное управление,38.03.04,Государственное и муниципальное управление,"Государственный служащий, Преподаватель государственного и муниципального управления, Лоббисти остальные",140000.0,,,114.0,60.0,https://vuzopedia.ru/program/bakispec/11177
629,"Иностранный язык (английский – первый иностранный язык, арабский – второй иностранный язык)",44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Преподаватель лингвистикии остальные",60000.0,200.0,52.0,114.0,35.0,https://vuzopedia.ru/program/bakispec/11175
630,Социальные и образовательные проекты в области сценического искусства,51.03.02,Народная художественная культура,"Педагог-организатор культурного досуга, Культорганизатор, Личный тьютор по эстетическому развитиюи остальные",160000.0,193.0,6.0,122.0,10.0,https://vuzopedia.ru/program/bakispec/11173
631,Изобразительное искусство и дополнительное образование в области художественной обработки ..,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Учитель ИЗОи остальные",160000.0,13.0,,139.0,20.0,https://vuzopedia.ru/program/bakispec/11171
632,Цифровое государственное управление и экономическая политика,38.03.04,Государственное и муниципальное управление,"GR-менеджер, Администратор баз данных, Государственный служащийи остальные",160000.0,,,132.0,30.0,https://vuzopedia.ru/program/bakispec/11168
633,Востоковедение,46.03.01,История,"Археолог, Историк, Историографи остальные",160000.0,229.0,9.0,124.0,5.0,https://vuzopedia.ru/program/bakispec/11165
634,Аналитика и управление социально-политическими процессами,41.03.06,Публичная политика и социальные науки,"GR-менеджер, Государственный служащий, Координатор программ развития сообществи остальные",160000.0,192.0,7.0,174.0,15.0,https://vuzopedia.ru/program/bakispec/11164
635,Технология и дополнительное образование в области робототехники,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Организатор детского технического творчестваи остальные",160000.0,144.0,12.0,114.0,10.0,https://vuzopedia.ru/program/bakispec/11163
636,Машинное обучение и искусственный интеллект,01.03.02,Прикладная математика и информатика,"Программист, Разработчик систем компьютерного зрения, Разработчик нейронных сетейи остальные",160000.0,128.0,10.0,120.0,5.0,https://vuzopedia.ru/program/bakispec/11158
637,Театральная режиссура и актерское мастерство. Преподавание художественно-творческих дисцип..,51.03.02,Народная художественная культура,"Актер, Актёр драматического театра, Личный тьютор по эстетическому развитиюи остальные",149900.0,324.0,4.0,252.0,5.0,https://vuzopedia.ru/program/bakispec/11156
638,"Руководство хореографическим коллективом, танцевально-спортивным клубом. Преподавание хоре..",51.03.02,Народная художественная культура,"Артист хора, Личный тьютор по эстетическому развитию, Танцори остальные",54900.0,296.0,12.0,197.0,25.0,https://vuzopedia.ru/program/bakispec/11155
639,"Руководство студией декоративно-прикладного творчества, преподавание художественно-творчес..",51.03.02,Народная художественная культура,"Педагог-организатор культурного досуга, Личный тьютор по эстетическому развитию, Руководитель художественной студиии остальные",54900.0,281.0,9.0,265.0,2.0,https://vuzopedia.ru/program/bakispec/11154
640,Технологии беспилотных систем и искусственного интеллекта в АПК,35.03.06,Агроинженерия,"Агроинженер, Агроинформатик (агрокибернетик), Инженер-механик по сельскому хозяйствуи остальные",65000.0,173.0,30.0,106.0,40.0,https://vuzopedia.ru/program/bakispec/11150
641,Менеджмент технологических процессов производства молока и молочной продукции,36.03.02,Зоотехния,"Зоотехник, Животновод, Инженер-технолог молока и молочных продуктови остальные",160000.0,130.0,84.0,99.0,37.0,https://vuzopedia.ru/program/bakispec/11149
642,Маркетинг и цифровые коммуникации,38.03.06,Торговое дело,"Торговый агент, Маркетолог, Интернет-маркетологи остальные",245000.0,217.0,2.0,130.0,28.0,https://vuzopedia.ru/program/bakispec/11148
643,Информационные технологии (по элективным модулям),44.03.04,Профессиональное обучение (по отраслям),"Педагог, Учитель, Учитель информатики и вычислительной техникии остальные",72000.0,179.0,53.0,143.0,35.0,https://vuzopedia.ru/program/bakispec/11145
644,Управление документами в условиях цифровой экономики,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Учитель, Преподаватель экономикии остальные",72000.0,184.0,35.0,130.0,30.0,https://vuzopedia.ru/program/bakispec/11141
645,Профессионально-педагогические технологии,44.03.04,Профессиональное обучение (по отраслям),"Педагог, Учитель, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.)и остальные",167400.0,25.0,,123.0,23.0,https://vuzopedia.ru/program/bakispec/11140
646,Дизайн (по элективным модулям),44.03.04,Профессиональное обучение (по отраслям),"Учитель, Дизайнер интерьеров, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.)и остальные",72000.0,200.0,55.0,130.0,90.0,https://vuzopedia.ru/program/bakispec/11139
647,Цифровизация и управление бизнесом,38.03.02,Менеджмент,"Инновационный менеджер, Менеджер, Предпринимательи остальные",75000.0,273.0,5.0,125.0,60.0,https://vuzopedia.ru/program/bakispec/11135
648,Психологическая диагностика и консультирование,37.03.01,Психология,"Психолог, Менеджер фонда прямых инвестиций в талантливых людей, Профориентологи остальные",167400.0,223.0,3.0,131.0,33.0,https://vuzopedia.ru/program/bakispec/11131
649,Оборудование и технологии сварочного производства,15.03.01,Машиностроение,"Инженер-конструктор, Инженер-технолог, Инженер по сваркеи остальные",72000.0,,,125.0,35.0,https://vuzopedia.ru/program/bakispec/11130
650,Высокоэнергетические процессы и технологии в машиностроении и материалообработке,15.03.01,Машиностроение,"Инженер-технолог, Инженер-машиностроитель, Специалист по технологии машиностроенияи остальные",72000.0,,,125.0,50.0,https://vuzopedia.ru/program/bakispec/11126
651,"Уголовно-правовая специализация, предварительное расследование в органах внутренних дел",40.05.01,Правовое обеспечение национальной безопасности,"Адвокат, Инспектор уголовного розыска, Полицейскийи остальные",,80.0,,,,https://vuzopedia.ru/program/bakispec/11122
652,"Административная деятельность полиции, деятельность сотрудника подразделения по обеспечени..",40.03.02,Обеспечение законности и правопорядка,"Инженер по безопасности дорожного движения, Инженер по безопасности транспортной сети, Полицейскийи остальные",,18.0,,,,https://vuzopedia.ru/program/bakispec/11118
653,Информационные технологии в интеллектуальной электроэнергетике,13.03.02,Электроэнергетика и электротехника,"Инженер-энергетик, Инженер-электрик, Энергодиспетчер (диспетчер энергостанций/энергосистем)и остальные",,186.0,16.0,,,https://vuzopedia.ru/program/bakispec/11116
654,Цифровые технологии в релейной защите и автоматике электроэнергетических систем,13.03.02,Электроэнергетика и электротехника,"Инженер-энергетик, Инженер-электрик, Инженер по релейной защите и автоматикеи остальные",,186.0,22.0,,,https://vuzopedia.ru/program/bakispec/11114
655,Искусственный интеллект: нейросети и нейрочипы,01.03.02,Прикладная математика и информатика,"Педагог, Программист, Аналитик компьютерных системи остальные",,207.0,20.0,,,https://vuzopedia.ru/program/bakispec/11112
656,Электроснабжение специальных технических систем и объектов,13.05.01,Тепло- и электрообеспечение специальных технических систем и объектов,"Инженер-энергетик, Инженер-электрик, Инженер-теплоэнергетики остальные",,,,,,https://vuzopedia.ru/program/bakispec/11109
657,Военно-политическая пропаганда и агитация,56.05.08,Военно-политическая работа,Военныйи остальные,,,,,,https://vuzopedia.ru/program/bakispec/11106
658,Биоинформатика и компьютерное моделирование в естественных науках,03.03.01,Прикладные математика и физика,"Инженер-исследователь, Математик, Биоинформатики остальные",268200.0,225.0,31.0,212.0,5.0,https://vuzopedia.ru/program/bakispec/11104
659,Организация охраны и конвоирования  в уголовно исполнительной системе,40.03.01,Юриспруденция,"Полицейский, Охранник, Сотрудник уголовно-исполнительной системыи остальные",,139.0,26.0,,,https://vuzopedia.ru/program/bakispec/11101
660,Кадровая и организационно-мобилизационная работа,56.05.04,Управление персоналом,"Специалист по кадрам, Военный, Инженер по организации и нормированию трудаи остальные",,,,,,https://vuzopedia.ru/program/bakispec/11100
661,Техническая эксплуатация радиоэлектронных комплексов воздушных судов,25.05.03,Техническая эксплуатация транспортного радиооборудования,"Инженер, Инженер по авиационному и радиоэлектронному оборудованию, Инженер по авионикеи остальные",,,,,,https://vuzopedia.ru/program/bakispec/11098
662,Применение и эксплуатация авиационного оборудования комплексов с беспилотными летательными..,25.05.02,Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов,"Авиационный механик (авиамеханик), Авиаинженер (авиационный инженер), Инженер по авиационному и радиоэлектронному оборудованиюи остальные",,,,,,https://vuzopedia.ru/program/bakispec/11096
663,Физика температурных процессов,16.03.01,Техническая физика,"Инженер-исследователь, Инженер-термофизик, Инженер-теплофизики остальные",387970.0,,,119.0,15.0,https://vuzopedia.ru/program/bakispec/11094
664,Товарная экспертиза и категорийный менеджмент в сфере товаров зооветеринарного назначения,38.03.07,Товароведение,"Менеджер, Категорийный менеджер, Директор магазинаи остальные",347000.0,,,140.0,50.0,https://vuzopedia.ru/program/bakispec/11092
665,Биоинформатика и биоинформационный анализ в АПК,06.05.01,Биоинженерия и биоинформатика,"Биоинженер, Биотехнолог, Биоинформатики остальные",347000.0,,,140.0,25.0,https://vuzopedia.ru/program/bakispec/11090
666,Производственный менеджмент в пищевых технологиях продукции животноводства,35.03.07,Технология производства и переработки сельскохозяйственной продукции,"Инженер-технолог по качеству, Руководитель в АПК (агропромышленном комплексе)и остальные",347000.0,162.0,25.0,108.0,10.0,https://vuzopedia.ru/program/bakispec/11088
667,Переработка продукции животноводства и управления рисками в АПК,35.03.07,Технология производства и переработки сельскохозяйственной продукции,"Агроинженер, Инженер-технолог по качеству, Руководитель в АПК (агропромышленном комплексе)и остальные",347000.0,167.0,25.0,127.0,10.0,https://vuzopedia.ru/program/bakispec/11087
668,Биофармацевтика,19.03.01,Биотехнология,"Инженер-исследователь, Биофармаколог, Фармацевти остальные",347000.0,,,126.0,25.0,https://vuzopedia.ru/program/bakispec/11084
669,Экология в агробиотехнологиях,06.03.01,Биология,"Биолог, Лаборант-эколог, Эксперт-экологи остальные",347000.0,,,151.0,25.0,https://vuzopedia.ru/program/bakispec/11081
670,Микробиология и вирусология,06.03.01,Биология,"Вирусолог, Биолог, Биохимики остальные",347000.0,,,133.0,25.0,https://vuzopedia.ru/program/bakispec/11077
671,Селекция и генетика животных,36.03.02,Зоотехния,"Зоотехник, Животновод, Генетики остальные",347000.0,205.0,25.0,137.0,15.0,https://vuzopedia.ru/program/bakispec/11076
672,Нутрициология и благополучие животных,36.03.02,Зоотехния,"Зоотехник, Животновод, Зоологи остальные",145000.0,156.0,50.0,135.0,30.0,https://vuzopedia.ru/program/bakispec/11072
