id,program_name,id_program,min_cost,min_point_for_budget,min_point_for_paid,sphere,who_will_be_in_the_future,budget_places
212,Менеджмент в аквакультуре,35.03.08,153300.0,175.0,136.0,Водные биоресурсы и аквакультура,"Инженер комплексного использования водных ресурсов, Инспектор рыбоохраны, Техник-рыбовод и остальные",12.0
213,Управление бизнес-процессами и инженерно-экономическим обеспечением водного транспорта,26.03.04,55000.0,166.0,154.0,Инженерно-экономическое обеспечение технологий и бизнес-процессов водного транспорта,"Бухгалтер-экономист, Инженер по организации и нормированию труда, Инженер по организации перевозок и управлению на транспорте и остальные",29.0
214,Судостроение и судоремонт,26.03.02,55000.0,166.0,154.0,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры","Инженер-конструктор, Инженер-кораблестроитель, Инженер-проектировщик и остальные",31.0
215,Инженерно-техническое обеспечение полетов воздушных судов и беспилотных летательных аппара..,25.03.01,55000.0,179.0,134.0,Техническая эксплуатация летательных аппаратов и двигателей,"Авиационный механик (авиамеханик), Авиаинженер (авиационный инженер), Инженер-механик и остальные",36.0
216,Беспилотные авиационные системы,24.03.04,183900.0,183.0,139.0,Авиастроение,"Авиаконструктор, Авиаинженер (авиационный инженер), Инженер по электрооборудованию летательных аппаратов и остальные",33.0
217,Роботы и мехатронные системы,15.03.06,55000.0,175.0,126.0,Мехатроника и робототехника,"Инженер-исследователь, Инженер АСУ ТП, Инженер-мехатроник и остальные",30.0
218,Управление и мониторинг машиностроительного оборудования,13.03.03,153300.0,164.0,133.0,Энергетическое машиностроение,"Дефектоскопист нефтепроводов, Инженер по пневмоавтоматике, Инженер по энергетическому машиностроению и остальные",20.0
219,Инженерное программирование в машиностроении,13.03.03,55000.0,164.0,133.0,Энергетическое машиностроение,"Инженер-энергетик, Инженер-электрик, Инженер по энергетическому машиностроению и остальные",35.0
220,Цифровое проектирование и программирование в приборостроении,12.03.01,55000.0,167.0,137.0,Приборостроение,"Инженер-технолог, Инженер-схемотехник, Инженер приборостроения и остальные",43.0
221,Интеллектуальные электронные системы,11.03.04,153300.0,173.0,136.0,Электроника и наноэлектроника,"Инженер-схемотехник, Системный администратор, Инженер по наноэлектронике и остальные",20.0
222,Радиоэлектроника беспилотных средств и алгоритмы обработки информации,11.03.01,55000.0,172.0,126.0,Радиотехника,"Инженер-радиотехник, Инженер-схемотехник, Военный связист и остальные",67.0
223,Бизнес-инжиниринг и экспертиза в стройиндустрии,08.03.01,153300.0,179.0,123.0,Строительство,"Инженер по проектно-сметной документации, Инженер по техническому надзору, Инженер-проектировщик и остальные",21.0
224,Трансляционная биоинженерия,06.05.01,153300.0,186.0,152.0,Биоинженерия и биоинформатика,"Биоинженер, Биоинформатик, Клинический биоинформатик и остальные",7.0
225,Образовательные технологии в прикладной физике и математике,03.03.01,153300.0,166.0,125.0,Прикладные математика и физика,"Лаборант физических испытаний, Учитель математики, Преподаватель и остальные",30.0
226,Моделирование процессов и производств нефтегазового комплекса,01.03.04,135000.0,177.0,152.0,Прикладная математика,"Математик, Инженер-механик, Специалист по подсчёту запасов нефти и газа и остальные",34.0
227,Анимационная деятельность,51.03.03,54000.0,,110.0,Социально-культурная деятельность,"Аниматор, Менеджер социально-культурной деятельности, Художественный редактор и остальные",
228,Исторические и современные клавишные инструменты,53.05.01,762370.0,345.0,305.0,Искусство концертного исполнительства,"Аккомпаниатор, Учитель музыки и пения, Музыкант и остальные",30.0
229,Биоматериаловедение,19.03.01,399000.0,288.0,221.0,Биотехнология,"Инженер-исследователь, Инженер-технолог, Биотехнолог и остальные",10.0
230,Русский язык и дополнительное образование (медиакоммуникация),44.03.05,165000.0,,121.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Преподаватель лингвистики и остальные",3.0
231,Музыкальное образование и театральное искусство,44.03.05,165000.0,,125.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Аниматор и остальные",3.0
232,История и дополнительное образование (экскурсионная и анимационная деятельность в туризме),44.03.05,165000.0,,121.0,Педагогическое образование (с двумя профилями подготовки),"Историк, Педагог, Учитель и остальные",3.0
233,Начальное образование. Детская практическая психология,44.03.05,50000.0,,190.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Педагог-психолог и остальные",3.0
234,Подземная разработка рудных месторождений и современные цифровые технологии добычи полезны..,21.05.04,209000.0,157.0,128.0,Горное дело,"Горный мастер, Горный инженер, Маркшейдер и остальные",5.0
235,Экономика и управление горно-металлургическим предприятием,38.03.01,434000.0,,142.0,Экономика,"Менеджер, Экономист и остальные",
236,Теория и практика современных средств массовой информации,42.03.02,60000.0,,100.0,Журналистика,"Журналист, Дата-журналист, Фэшн-журналист и остальные",
237,Правоприменение в области гражданско-правовых отношений,40.03.01,62000.0,,118.0,Юриспруденция,"Правозащитник, Патентовед, Прокурор и остальные",
238,Управление проектом,38.03.02,62000.0,,175.0,Менеджмент,"Инновационный менеджер, Координатор программ развития сообществ, Менеджер и остальные",
239,"Экономика, предпринимательство и финансы",38.03.01,62000.0,,150.0,Экономика,"Финансист, Предприниматель, Экономист по финансам и кредитам и остальные",
240,Электротехнологические системы и установки,13.03.02,60000.0,,185.0,Электроэнергетика и электротехника,"Инженер-электрик, Энергодиспетчер (диспетчер энергостанций/энергосистем), Инженер по электротехнологическим установкам и остальные",
241,Обработка и анализ данных в сложных динамических системах,09.03.02,135888.0,204.0,119.0,Информационные системы и технологии,"Web-программист, Аналитик компьютерных систем, Администратор баз данных и остальные",12.0
242,Зарубежная филология (английский и немецкий/французский языки; немецкий и английский языки..,45.03.01,119052.0,184.0,106.0,Филология,"Литературный переводчик, Переводчик французского языка, Переводчик немецкого языка и остальные",5.0
243,Зарубежная филология (английский и немецкий/французский языки; немецкий и английский языки..,45.03.01,119052.0,222.0,106.0,Филология,"Литературный переводчик, Переводчик французского языка, Переводчик немецкого языка и остальные",5.0
244,Зарубежная филология (английский и немецкий/французский языки; немецкий и английский языки..,45.03.01,119052.0,235.0,162.0,Филология,"Переводчик французского языка, Переводчик немецкого языка, Лингвист-исследователь и остальные",25.0
245,"Информационные технологии, математическое моделирование и компьютерный инжиниринг механиче..",01.03.03,119052.0,176.0,119.0,Механика и математическое моделирование,"Тестировщик, QA-инженер, Аналитик данных, Разработчик математических и компьютерных моделей и остальные",10.0
246,Информационные технологии в гидрометеорологии,05.03.05,47808.0,123.0,132.0,Прикладная гидрометеорология,"Гидролог, Метеоролог, Картограф и остальные",10.0
247,Цифровые технологии в территориальном планировании,05.03.02,135888.0,122.0,119.0,География,"Аэрофотосъемщик, Географ, Картограф и остальные",2.0
248,"Экономическая, политическая и рекреационная география",05.03.02,135888.0,122.0,119.0,География,"Географ, Учитель географии, Преподаватель географии (географических дисциплин) и остальные",3.0
249,Информационные системы и защита информации,09.03.02,90000.0,,119.0,Информационные системы и технологии,"Информатик-технолог, IT-специалист, Техник по защите информации и остальные",
250,"Эксплуатация и обслуживание объектов переработки, хранения и транспортировки нефти и газа",21.05.06,100000.0,168.0,136.0,Нефтегазовые техника и технологии,"Инженер по технологическому обеспечению работы нефтегазового промысла, Инженер-диагност газопроводов, Геолог-нефтяник и остальные",15.0
251,Звукорежиссура зрелищных программ,51.05.01,68310.0,,209.0,Звукорежиссура культурно-массовых представлений и концертных программ,"Звукорежиссер, Культорганизатор, Преподаватель звукорежиссуры и остальные",
252,Музыкально-инструментальное искусство,53.03.02,68310.0,168.0,246.0,Музыкально-инструментальное искусство,"Аккомпаниатор, Аранжировщик, Дирижер хора и остальные",10.0
253,Проектирование цифрового контента и web-дизайн,50.03.01,48070.0,,171.0,Искусства и гуманитарные науки,"Web-дизайнер, Бренд-дизайнер, Интернет-маркетолог и остальные",
254,Педагог народно-сценического танца,44.03.01,,226.0,,Педагогическое образование,"Педагог, Учитель, Личный тьютор по эстетическому развитию и остальные",5.0
255,Дополнительное образование. Педагог-организатор,44.03.01,,156.0,,Педагогическое образование,"Педагог, Учитель, Провизор-организатор и остальные",10.0
256,Театральное творчество,44.03.01,48070.0,166.0,161.0,Педагогическое образование,"Педагог, Актер, Учитель и остальные",10.0
257,Промышленный и предметный дизайн,54.03.01,99600.0,211.0,159.0,Дизайн,"Предметный дизайнер, Дизайнер, Промышленный дизайнер и остальные",4.0
258,Психология и педагогика дошкольного образования,44.03.02,60000.0,243.0,159.0,Психолого-педагогическое образование,"Воспитатель детского сада, Педагог, Психолог и остальные",14.0
259,Арт-технологии в художественном проектировании изделий из керамики,29.03.04,,215.0,,Технология художественной обработки материалов,"Бренд-дизайнер, Дизайнер упаковки, Гончар и остальные",4.0
260,Организация транспортного бизнеса и управление предприятием,38.03.02,95650.0,,85.0,Менеджмент,"Менеджер, Предприниматель, Менеджер по работе с таможней и остальные",
261,"Физическая культура, Реабилитационная педагогика",44.03.05,50000.0,195.0,214.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Преподаватель и остальные",17.0
262,"Дошкольное образование, Начальное образование",44.03.05,50000.0,192.0,125.0,Педагогическое образование (с двумя профилями подготовки),"Воспитатель детского сада, Педагог, Учитель и остальные",18.0
263,"История, Социальная педагогика",44.03.05,50000.0,196.0,170.0,Педагогическое образование (с двумя профилями подготовки),"Историк, Педагог, Учитель и остальные",17.0
264,"Английский язык, Родной (башкирский) язык и литература",44.03.05,50000.0,151.0,216.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Преподаватель лингвистики и остальные",17.0
265,"Начальное образование, Дополнительное образование (креативные индустрии в изобразительном ..",44.03.05,50000.0,190.0,186.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель, Учитель ИЗО и остальные",11.0
266,"Иностранный язык (английский), Дополнительное образование (переводоведение)",44.03.05,50000.0,,118.0,Педагогическое образование (с двумя профилями подготовки),"Учитель, Преподаватель лингвистики, Педагог-организатор и остальные",
267,Черчение и компьютерная графика,44.03.01,50000.0,,125.0,Педагогическое образование,"Педагог, Учитель, Дизайнер компьютерных программ и остальные",
268,"Эксплуатация, ремонт, обслуживание, санитарное содержание жилищного фонда и объектов гражд..",38.03.10,50000.0,,119.0,Жилищное хозяйство и коммунальная инфраструктура,"Техник-смотритель жилищного хозяйства, Специалист по домашнему и коммунальному хозяйству и остальные",
269,Инженерно-геодезические изыскания в землеустройстве,21.03.02,50000.0,,145.0,Землеустройство и кадастры,"Инженер по кадастру, Инженер по землеустройству, Землеустроитель и остальные",
270,Надзор в сфере охраны труда и готовности к чрезвычайным ситуациям,20.03.01,50000.0,,173.0,Техносферная безопасность,"Инженер по охране труда, Инженер по защите в чрезвычайных ситуациях, Инженер по организации и нормированию труда и остальные",
271,Электроэнергетические сети и электрооборудование производственных и жилых объектов,13.03.02,50000.0,,154.0,Электроэнергетика и электротехника,"Инженер-электрик, Энергодиспетчер (диспетчер энергостанций/энергосистем), Инженер по электротехнологическим установкам и остальные",
272,Технологические машины и оборудование в промышленности,15.03.02,80000.0,,99.0,Технологические машины и оборудование,"Инженер-конструктор, Инженер-исследователь, Инженер-мехатроник и остальные",
273,Конфликтология в управлении персоналом,37.03.02,131000.0,185.0,152.0,Конфликтология,"Бизнес-тренер, GR-менеджер, Коуч и остальные",9.0
274,Информационные системы и аналитика данных в международном бизнесе,09.03.03,150000.0,205.0,133.0,Прикладная информатика,"Актуарий, Программист, Web-программист и остальные",20.0
275,Педагогика и психология дополнительного образования,44.03.04,,,,Профессиональное обучение (по отраслям),"Педагог, Учитель, Преподаватель программ дополнительного образования и остальные",9.0
276,Туризм,44.03.04,127000.0,166.0,120.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.) и остальные",5.0
277,Фармацевтическая и пищевая биотехнология,19.03.01,42000.0,124.0,118.0,Биотехнология,"Биофармаколог, Фармацевт, Биотехнолог и остальные",32.0
278,Постстрессовая психотерапия для лиц с физическими и психологическими травмами,37.03.01,58000.0,,165.0,Психология,"Психолог, Психолог-консультант и остальные",
279,Системное администрирование информационно-коммуникационных систем,09.03.03,54000.0,,127.0,Прикладная информатика,"Системный администратор, Информатик (специалист по информационным технологиям), IT-специалист и остальные",
280,Бизнес планирование в строительстве,38.03.01,134000.0,,85.0,Экономика,"Специалист по бизнес-планированию и разработке бизнес-планов, Сметчик, Экономист и остальные",
281,Прикладная информатика в строительстве,09.03.03,90000.0,,99.0,Прикладная информатика,"IT-специалист, Специалист по прикладной информатике, Специалист по информационным системам обеспечения градостроительной деятельности и остальные",
282,Реставрация скульптуры,54.05.04,480000.0,303.0,266.0,Скульптура,"Реставратор, Скульптор, художник-скульптор, Скульптор-монументалист и остальные",4.0
283,Медальерное искусство,54.05.04,480000.0,303.0,266.0,Скульптура,"Скульптор, художник-скульптор, Скульптор-монументалист, Художник и остальные",4.0
284,"Физика в системе основного, среднего общего и среднего профессионального образования",44.03.01,70000.0,147.0,119.0,Педагогическое образование,"Педагог, Учитель, Лаборант физических испытаний и остальные",8.0
285,Медиация и социальная педагогика,44.03.01,139900.0,148.0,121.0,Педагогическое образование,"Инспектор по делам несовершеннолетних, Педагог, Учитель и остальные",15.0
286,Изобразительное искусство в образовании и дизайн,44.03.01,139900.0,177.0,164.0,Педагогическое образование,"Педагог, Учитель, Учитель ИЗО и остальные",20.0
287,Региональное развитие и геоинформационные технологии,05.03.02,158900.0,145.0,119.0,География,"Аэрофотосъемщик, Географ, Картограф и остальные",20.0
288,"Информационные системы, программирование и анализ данных",02.03.03,139900.0,180.0,145.0,Математическое обеспечение и администрирование информационных систем,"Программист, Web-программист, Системный администратор и остальные",15.0
289,Инженерное компьютерное проектирование и индустриальная математика,01.03.02,139900.0,179.0,119.0,Прикладная математика и информатика,"Программист, Системный администратор, Математик и остальные",12.0
290,Техника и технологии комплексов радиовещания,11.03.01,104000.0,172.0,130.0,Радиотехника,"Инженер-радиотехник, Звукорежиссер, Инженер связи и остальные",12.0
291,Звукоинженерия в теле- и киноиндустрии,11.03.01,272000.0,234.0,197.0,Радиотехника,"Звукорежиссер, Инженер по телевизионному оборудованию (ТВ-инженер), Радиозвукотехник и остальные",18.0
292,Организация внутреннего и международного туризма,43.03.02,105000.0,,146.0,Туризм,"Менеджер по туризму, Менеджер по организации мероприятий, Экскурсовод и остальные",
293,Классификация и происхождение товаров в таможенных целях,38.05.02,259000.0,218.0,127.0,Таможенное дело,"Менеджер по работе с таможней, Сюрвейер, Таможенный брокер и остальные",5.0
294,Компьютерные технологии в дизайне,54.03.01,459000.0,258.0,197.0,Дизайн,"Разработчик компьютерных игр, Креативный директор, IT-специалист и остальные",10.0
295,AI360: ML NATIVE,01.03.02,,305.0,,Прикладная математика и информатика,"Программист, IT-специалист, Специалист по искусственному интеллекту и остальные",36.0
296,Технология производства и переработки продукции животноводства и растениеводства,35.03.07,42000.0,216.0,156.0,Технология производства и переработки сельскохозяйственной продукции,"Инженер-технолог, Инженер пищевой промышленности, Инженер-технолог пищевого производства и остальные",65.0
297,Цифровой маркетинг,43.03.01,65700.0,221.0,115.0,Сервис,"Маркетолог, Интернет-маркетолог, Супервайзер и остальные",26.0
298,Управление в сфере молодежной политики,39.03.01,65700.0,155.0,115.0,Социология,"Социальный педагог, Event-менеджер, Педагог-организатор культурного досуга и остальные",25.0
299,Социальное проектирование в государственном управлении,39.03.01,65700.0,179.0,115.0,Социология,"Государственный служащий, Координатор программ развития сообществ, Менеджер социально-культурной деятельности и остальные",25.0
300,Информационные системы на финансовых рынках,01.03.05,145050.0,129.0,124.0,Статистика,"IT-специалист, Research Analyst (аналитика по исследованиям в банке или брокерской фирме), Финансовый аналитик (специалист финансового анализа и моделирования) и остальные",23.0
301,Управление качеством в производственно-технологических и социально-экономических системах,27.03.02,220000.0,132.0,119.0,Управление качеством,"Инженер по управлению качеством, Менеджер по развитию, Менеджер по качеству и остальные",9.0
302,Управление в креативных индустриях,38.03.02,256672.0,,134.0,Менеджмент,"Координатор программ развития сообществ, Куратор мультимедийных выставок, Менеджер социально-культурной деятельности и остальные",
303,Дополнительное образование (в области сценического искусства),44.03.01,256672.0,184.0,110.0,Педагогическое образование,"Педагог, Учитель, Руководитель художественной студии и остальные",10.0
304,Цифровой дизайн и веб-разработка,38.03.05,76000.0,,120.0,Бизнес-информатика,"Web-дизайнер, Дизайнер компьютерных программ, IT-специалист и остальные",3.0
305,Бизнес-аналитик 1С,38.03.05,76000.0,,112.0,Бизнес-информатика,"Аналитик данных, IT-специалист, ERP-программист и остальные",3.0
306,Информационные системы и технологии в отраслях транспортно-дорожного комплекса,09.03.02,90600.0,,119.0,Информационные системы и технологии,"Информатик (специалист по информационным технологиям), IT-специалист, Специалист по информационным системам и остальные",
307,Искусство мультимедиа: режиссура и технологии,50.03.01,280000.0,,142.0,Искусства и гуманитарные науки,"Искусствовед, Личный тьютор по эстетическому развитию, Режиссёр театра и кино и остальные",
