id,program_name,id_program,min_cost,min_point_for_budget,min_point_for_paid,sphere,who_will_be_in_the_future,budget_places
373,История и Организация воспитательной деятельности,44.03.05,54000.0,191.0,132.0,Педагогическое образование (с двумя профилями подготовки),"Педагог, Методист в сфере образования, Учитель и остальные",35.0
374,Педагог профессионального образования (технологии производственных процессов и их безопасн..,44.03.04,54000.0,174.0,170.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Мастер производственного обучения и остальные",10.0
375,Аддитивные технологии,44.03.04,58600.0,212.0,156.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Преподаватель и остальные",10.0
376,Правоприменительная деятельность в гражданско-правовой и уголовно-правовой сферах,40.03.01,90000.0,,132.0,Юриспруденция,"Инспектор уголовного розыска, Правозащитник, Патентовед и остальные",1.0
377,Управление банковским бизнесом,38.03.02,315000.0,258.0,150.0,Менеджмент,"Банковский служащий, Предприниматель, Финансовый аналитик (специалист финансового анализа и моделирования) и остальные",9.0
378,Менеджмент изменений,38.03.02,315000.0,258.0,150.0,Менеджмент,"Инновационный менеджер, Менеджер, Менеджер по внутренним коммуникациям и остальные",3.0
379,Управление транспортными системами,23.03.01,347000.0,,119.0,Технология транспортных процессов,"Инженер по организации перевозок и управлению на транспорте, Транспортный планировщик, Таможенный брокер и остальные",
380,Статистика и управление данными,01.03.05,315000.0,,124.0,Статистика,"Аналитик данных, IT-специалист, ICO аналитик и остальные",
381,Программирование и администрирование систем радиосвязи,11.03.02,100000.0,140.0,116.0,Инфокоммуникационные технологии и системы связи,"Системный администратор, Инженер связи, Инженер-проектировщик в области связи и телекоммуникаций и остальные",149.0
382,Программирование и администрирование сетей и систем связи,11.03.02,90000.0,134.0,115.0,Инфокоммуникационные технологии и системы связи,"Инженер по спутниковым коммуникациям, Инженер по электромагнитной совместимости, Инженер связи и остальные",169.0
383,Управление цифровыми инновациями,09.03.03,190000.0,183.0,130.0,Прикладная информатика,"Программист, Инженер по сопровождению программного обеспечения, Менеджер непрерывности бизнеса и остальные",20.0
384,Политика и экономика стран Северо-Восточной Азии,58.03.01,192500.0,,160.0,Востоковедение и африканистика,"Политолог, Дипломат, Кореист и остальные",
385,Инвестиционно-строительный бизнес,38.03.01,192500.0,235.0,126.0,Экономика,"Инженер по проектно-сметной документации, Инженер-экономист, Менеджер строительного проекта и остальные",6.0
386,Организация строительного производства,08.03.01,215800.0,,124.0,Строительство,"Инженер по проектно-сметной документации, Инженер по техническому надзору, Инженер-проектировщик и остальные",
387,Помощник руководителя в системе управления организацией,46.03.02,76300.0,174.0,143.0,Документоведение и архивоведение,"Архивариус, Секретарь, Оператор персонального компьютера (ПК) и остальные",10.0
388,Организация предпринимательской деятельности,44.03.04,75000.0,,121.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Мастер профессионального обучения (техник, технолог, конструктор-модельер, дизайнер и др.) и остальные",
389,Менеджмент и маркетинг,44.03.04,163000.0,202.0,199.0,Профессиональное обучение (по отраслям),"Педагог, Учитель, Маркетолог и остальные",10.0
390,Налоги и бизнес в цифровой экономике,38.03.01,65000.0,240.0,125.0,Экономика,"Налоговый бухгалтер (специалист по налогообложению), Налоговый инспектор, Налоговый консультант и остальные",1.0
391,Международная торговля и таможенное дело в цифровой экономике,38.05.02,65000.0,,128.0,Таможенное дело,"Менеджер ВЭД, Менеджер по работе с таможней, Сюрвейер и остальные",
392,Флористический дизайн,54.03.01,,311.0,,Дизайн,"Флорист, Дизайнер, Дизайнер-флорист и остальные",5.0
